iter	Passed	Remaining
678	7830	3701
679	7842	3690
680	7854	3679
681	7866	3668
682	7879	3656
683	7891	3645
684	7902	3634
685	7914	3622
686	7925	3610
687	7936	3599
688	7947	3587
689	7959	3576
690	7971	3564
691	7982	3552
692	7994	3541
693	8005	3529
694	8018	3518
695	8029	3506
696	8040	3495
697	8052	3484
698	8066	3473
699	8077	3461
700	8089	3450
701	8100	3438
702	8112	3427
703	8123	3415
704	8136	3404
705	8147	3392
706	8159	3381
707	8170	3369
708	8181	3357
709	8191	3345
710	8202	3333
711	8212	3321
712	8223	3310
713	8233	3298
714	8244	3286
715	8255	3274
716	8266	3262
717	8277	3251
718	8288	3239
719	8299	3227
720	8309	3215
721	8321	3203
722	8332	3192
723	8343	3180
724	8354	3168
725	8365	3157
726	8375	3145
727	8386	3133
728	8399	3122
729	8410	3110
730	8421	3099
731	8432	3087
732	8443	3075
733	8454	3064
734	8465	3052
735	8476	3040
736	8486	3028
737	8497	3016
738	8506	3004
739	8517	2992
740	8528	2980
741	8539	2969
742	8550	2957
743	8561	2945
744	8572	2934
745	8582	2922
746	8593	2910
747	8604	2898
748	8615	2887
749	8626	2875
750	8636	2863
751	8647	2851
752	8658	2840
753	8669	2828
754	8680	2816
755	8691	2805
756	8702	2793
757	8712	2781
758	8723	2769
759	8734	2758
760	8745	2746
761	8757	2735
762	8768	2723
763	8778	2711
764	8789	2700
765	8800	2688
766	8811	2676
767	8823	2665
768	8835	2654
769	8847	2642
770	8857	2630
771	8867	2618
772	8878	2607
773	8887	2595
774	8898	2583
775	8908	2571
776	8918	2559
777	8929	2548
778	8942	2536
779	8953	2525
780	8963	2513
781	8974	2501
782	8986	2490
783	8999	2479
784	9010	2467
785	9022	2456
786	9035	2445
787	9046	2433
788	9058	2422
789	9071	2411
790	9084	2400
791	9096	2389
792	9107	2377
793	9118	2365
794	9129	2354
795	9139	2342
796	9149	2330
797	9160	2318
798	9171	2307
799	9182	2295
800	9196	2284
801	9209	2273
802	9221	2262
803	9232	2250
804	9244	2239
805	9255	2227
806	9265	2215
807	9278	2204
808	9289	2193
809	9300	2181
810	9313	2170
811	9324	2158
812	9336	2147
813	9348	2136
814	9359	2124
815	9370	2112
816	9383	2101
817	9394	2090
818	9407	2078
819	9419	2067
820	9432	2056
821	9443	2044
822	9454	2033
823	9463	2021
824	9473	2009
825	9483	1997
826	9493	1986
827	9503	1974
828	9514	1962
829	9524	1950
830	9534	1939
831	9544	1927
832	9555	1915
833	9565	1903
834	9576	1892
835	9586	1880
836	9597	1869
837	9608	1857
838	9620	1846
839	9632	1834
840	9643	1823
841	9654	1811
842	9667	1800
843	9678	1788
844	9689	1777
845	9703	1766
846	9715	1754
847	9728	1743
848	9740	1732
849	9756	1721
850	9772	1711
851	9785	1699
852	9799	1688
853	9816	1678
854	9834	1667
855	9849	1656
856	9867	1646
857	9883	1635
858	9895	1624
859	9914	1614
860	9932	1603
861	9950	1592
862	9961	1581
863	9973	1569
864	9984	1558
865	9996	1546
866	10007	1535
867	10018	1523
868	10029	1511
869	10041	1500
870	10053	1489
871	10066	1477
872	10081	1466
873	10092	1454
874	10127	1446
875	10161	1438
876	10178	1427
877	10190	1416
878	10202	1404
879	10214	1392
880	10228	1381
881	10243	1370
882	10257	1359
883	10272	1348
884	10288	1336
885	10303	1325
886	10321	1314
887	10337	1303
888	10351	1292
889	10364	1281
890	10379	1269
891	10393	1258
892	10404	1246
893	10416	1235
894	10428	1223
895	10440	1211
896	10452	1200
897	10463	1188
898	10476	1177
899	10490	1165
900	10505	1154
901	10519	1142
902	10533	1131
903	10553	1120
904	10576	1110
905	10596	1099
906	10619	1088
907	10641	1078
908	10661	1067
909	10677	1056
910	10691	1044
911	10704	1032
912	10717	1021
913	10730	1009
914	10742	997
915	10757	986
916	10801	977
917	10817	966
918	10830	954
919	10846	943
920	10859	931
921	10878	920
922	10891	908
923	10904	896
924	10917	885
925	10931	873
926	10943	861
927	10958	850
928	10972	838
929	10986	826
930	11001	815
931	11016	803
932	11029	792
933	11041	780
934	11059	768
935	11073	757
936	11086	745
937	11099	733
938	11116	722
939	11131	710
940	11145	698
941	11162	687
942	11180	675
943	11199	664
944	11221	653
945	11237	641
946	11253	629
947	11277	618
948	11297	607
949	11317	595
950	11334	584
951	11348	572
952	11364	560
953	11379	548
954	11394	536
955	11410	525
956	11431	513
957	11464	502
958	11496	491
959	11527	480
960	11560	469
961	11570	457
962	11580	444
963	11589	432
964	11599	420
965	11608	408
966	11618	396
967	11627	384
968	11637	372
969	11648	360
970	11659	348
971	11670	336
972	11681	324
973	11692	312
974	11703	300
975	11715	288
976	11726	276
977	11738	264
978	11750	252
979	11762	240
980	11775	228
981	11787	216
982	11799	204
983	11812	192
984	11823	180
985	11835	168
986	11846	156
987	11857	144
988	11869	132
989	11880	120
990	11892	108
991	11903	95
992	11914	83
993	11926	71
994	11937	59
995	11950	47
996	11962	35
997	11975	23
998	11988	12
999	11999	0
